date	julian	simptoms	test	positive
2020-02-14	0	1	0	0
2020-02-16	2	2	0	0
2020-02-19	5	1	0	0
2020-02-20	6	1	0	0
2020-02-22	8	2	0	0
2020-02-26	12	2	0	0
2020-02-28	14	2	0	0
2020-03-01	16	5	0	0
2020-03-02	17	1	0	0
2020-03-03	18	2	0	0
2020-03-04	19	1	0	0
2020-03-06	21	1	0	0
2020-03-07	22	1	0	0
2020-03-08	23	1	0	0
2020-03-10	25	3	0	0
2020-03-11	26	2	0	0
2020-03-12	27	1	0	0
2020-03-13	28	6	1	1
2020-03-14	29	4	1	0
2020-03-15	30	3	6	6
2020-03-16	31	2	0	0
2020-03-17	32	3	3	1
2020-03-18	33	5	3	3
2020-03-19	34	6	6	4
2020-03-20	35	3	3	5
2020-03-21	36	1	2	1
2020-03-22	37	1	2	3
2020-03-24	39	1	4	3
2020-03-25	40	1	1	4
2020-03-26	41	4	4	0
2020-03-27	42	5	4	6
2020-03-28	43	3	3	3
2020-03-29	44	1	1	3
2020-03-30	45	5	4	3
2020-03-31	46	7	5	6
2020-04-01	47	4	6	2
2020-04-02	48	9	6	6
2020-04-03	49	6	9	9
2020-04-04	50	8	9	2
2020-04-05	51	9	7	10
2020-04-06	52	8	5	5
2020-04-07	53	12	11	7
2020-04-08	54	34	38	40
2020-04-09	55	10	16	10
2020-04-10	56	14	15	6
2020-04-11	57	5	4	19
2020-04-12	58	10	10	9
2020-04-13	59	18	19	4
2020-04-14	60	73	73	8
2020-04-15	61	11	10	74
2020-04-16	62	18	21	19
2020-04-17	63	13	14	7
2020-04-18	64	18	10	3
2020-04-19	65	6	3	18
2020-04-20	66	40	37	13
2020-04-21	67	72	73	66
2020-04-22	68	20	30	41
2020-04-23	69	47	53	43
2020-04-24	70	62	68	12
2020-04-25	71	19	20	67
2020-04-26	72	26	14	17
2020-04-27	73	33	31	26
2020-04-28	74	44	34	21
2020-04-29	75	35	32	34
2020-04-30	76	48	53	31
2020-05-01	77	45	23	34
2020-05-02	78	32	21	6
2020-05-03	79	43	27	10
2020-05-04	80	73	50	38
2020-05-05	81	82	53	20
2020-05-06	82	71	73	42
2020-05-07	83	58	58	57
2020-05-08	84	113	109	28
2020-05-09	85	76	94	143
2020-05-10	86	83	51	49
2020-05-11	87	97	116	64
2020-05-12	88	116	132	79
2020-05-13	89	125	189	139
2020-05-14	90	108	179	175
2020-05-15	91	135	143	158
2020-05-16	92	95	117	106
2020-05-17	93	162	201	88
2020-05-18	94	228	303	155
2020-05-19	95	226	263	246
2020-05-20	96	348	487	211
2020-05-21	97	366	621	299
2020-05-22	98	400	545	426
2020-05-23	99	164	258	269
2020-05-24	100	170	219	339
2020-05-25	101	475	640	302
2020-05-26	102	448	592	259
2020-05-27	103	299	425	306
2020-05-28	104	378	443	269
2020-05-29	105	372	411	211
2020-05-30	106	173	208	299
2020-05-31	107	122	126	198
2020-06-01	108	302	407	280
2020-06-02	109	282	380	179
2020-06-03	110	317	470	265
2020-06-04	111	374	462	411
2020-06-05	112	474	633	397
2020-06-06	113	414	553	286
2020-06-07	114	292	340	318
2020-06-08	115	435	598	343
2020-06-09	116	436	726	364
2020-06-10	117	564	774	431
2020-06-11	118	410	792	218
2020-06-12	119	462	730	414
2020-06-13	120	404	529	96
2020-06-14	121	360	470	303
2020-06-15	122	725	1019	555
2020-06-16	123	545	948	718
2020-06-17	124	509	880	551
2020-06-18	125	482	765	814
2020-06-19	126	545	909	486
2020-06-20	127	681	780	256
2020-06-21	128	357	353	418
2020-06-22	129	787	1178	780
2020-06-23	130	719	1211	778
2020-06-24	131	648	1190	351
2020-06-25	132	673	1409	1037
2020-06-26	133	777	1368	671
2020-06-27	134	676	915	572
2020-06-28	135	513	402	466
2020-06-29	136	670	1015	734
2020-06-30	137	821	1733	984
2020-07-01	138	793	1408	1138
2020-07-02	139	694	1412	1299
2020-07-03	140	700	1331	1330
2020-07-04	141	581	905	790
2020-07-05	142	506	389	700
2020-07-06	143	729	1305	901
2020-07-07	144	654	1293	674
2020-07-08	145	611	1343	1236
2020-07-09	146	576	1171	1003
2020-07-10	147	794	1070	1008
2020-07-11	148	608	770	806
2020-07-12	149	471	490	408
2020-07-13	150	700	1227	1220
2020-07-14	151	604	1156	1261
2020-07-15	152	616	1125	939
2020-07-16	153	596	1173	1021
2020-07-17	154	591	1038	1191
2020-07-18	155	618	695	666
2020-07-19	156	484	384	340
2020-07-20	157	804	1264	1296
2020-07-21	158	531	1074	1131
2020-07-22	159	504	1126	1073
2020-07-23	160	486	1046	1019
2020-07-24	161	527	1070	1272
2020-07-25	162	440	618	638
2020-07-26	163	379	314	261
2020-07-27	164	542	1261	1209
2020-07-28	165	512	1130	1179
2020-07-29	166	409	911	1271
2020-07-30	167	479	876	1000
2020-07-31	168	474	884	1163
2020-08-01	169	649	588	358
2020-08-02	170	375	411	227
2020-08-03	171	486	1129	788
2020-08-04	172	383	886	1143
2020-08-05	173	403	966	824
2020-08-06	174	379	768	943
2020-08-07	175	380	719	903
2020-08-08	176	400	533	420
2020-08-09	177	317	301	389
2020-08-10	178	560	859	996
2020-08-11	179	372	804	1151
2020-08-12	180	366	746	1233
2020-08-13	181	340	752	1144
2020-08-14	182	423	686	903
2020-08-15	183	401	475	337
2020-08-16	184	351	392	310
2020-08-17	185	449	909	909
2020-08-18	186	357	773	1043
2020-08-19	187	325	729	1124
2020-08-20	188	484	798	1052
2020-08-21	189	384	730	943
2020-08-22	190	378	413	331
2020-08-23	191	325	309	342
2020-08-24	192	359	844	1152
2020-08-25	193	369	754	1082
2020-08-26	194	318	775	1141
2020-08-27	195	320	684	1065
2020-08-28	196	352	710	749
2020-08-29	197	264	377	227
2020-08-30	198	270	237	166
2020-08-31	199	351	729	813
2020-09-01	200	429	697	724
2020-09-02	201	328	633	681
2020-09-03	202	315	663	670
2020-09-04	203	372	511	441
2020-09-05	204	327	361	189
2020-09-06	205	312	220	146
2020-09-07	206	358	761	821
2020-09-08	207	307	742	893
2020-09-09	208	281	591	680
2020-09-10	209	368	709	694
2020-09-11	210	333	681	625
2020-09-12	211	299	430	253
2020-09-13	212	296	266	256
2020-09-14	213	376	743	455
2020-09-15	214	340	366	243
2020-09-16	215	317	708	731
2020-09-17	216	399	658	724
2020-09-18	217	405	746	742
2020-09-19	218	366	529	289
2020-09-20	219	419	332	222
2020-09-21	220	455	802	896
2020-09-22	221	335	790	752
2020-09-23	222	293	763	449
2020-09-24	223	298	752	872
2020-09-25	224	359	650	796
2020-09-26	225	303	354	395
2020-09-27	226	315	249	162
2020-09-28	227	338	756	697
2020-09-29	228	300	696	790
2020-09-30	229	301	607	684
2020-10-01	230	435	641	660
2020-10-02	231	343	623	618
2020-10-03	232	308	323	212
2020-10-04	233	256	220	209
2020-10-05	234	365	741	678
2020-10-06	235	296	648	793
2020-10-07	236	300	621	730
2020-10-08	237	319	575	426
2020-10-09	238	309	631	583
2020-10-10	239	431	353	167
2020-10-11	240	261	200	106
2020-10-12	241	315	622	521
2020-10-13	242	283	670	708
2020-10-14	243	258	618	653
2020-10-15	244	339	593	634
2020-10-16	245	313	572	571
